,unnamed:_0,rating,reviews,size,installs_clean,price_clean,size_kb
count,9659.0,8196.0,9659.0,8432.0,9659.0,9659.0,8432.0
mean,5666.172895744901,4.173243045387994,216592.56382648306,20.39532732447818,7777506.732270421,1.0992990992856404,20.39532732447818
std,3102.362862535777,0.5366247303874496,1831319.5661756026,21.827509376178106,53758278.6835225,16.85215190688174,21.827509376178106
min,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25%,3111.5,4.0,25.0,4.6,1000.0,0.0,4.6
50%,5814.0,4.3,967.0,12.0,100000.0,0.0,12.0
75%,8327.5,4.5,29401.0,28.0,1000000.0,0.0,28.0
max,10840.0,5.0,78158306.0,100.0,1000000000.0,400.0,100.0
